,estimated_delivery_price,best_bid_amount,best_ask_amount,underlying_index,bid_iv,ask_iv,underlying_price,mark_iv,best_bid_price,best_ask_price,interest_rate,open_interest,max_price,min_price,last_price,asks,bids,settlement_price,instrument_name,mark_price,index_price,change_id,greeks,stats,state,timestamp
591,66206.65,0.0,0.0,BTC-28MAR25,0.0,0.0,72924.05,81.41,0.0,0.0,0.0,25.0,0.1685,0.0265,0.0686,[],[],0.06344392,BTC-28MAR25-190000-C,0.0649,66206.65,23182132229,"{'rho': 94.57353, 'theta': -23.89978, 'vega': 199.44062, 'gamma': 0.0, 'delta': 0.20424}","{'volume_usd': 114615.41, 'volume': 25.0, 'price_change': 0.0, 'low': 0.0686, 'high': 0.0686}",open,1713864315751
592,66206.65,11.7,242.0,BTC-3MAY24,60.96,71.73,66326.87,67.21,0.1365,0.1405,0.0,170.7,0.199,0.092,0.1315,"[[0.1405, 242.0], [0.142, 210.0], [0.1425, 12.9], [0.2135, 10.0]]","[[0.1365, 11.7], [0.136, 204.0], [0.1355, 1050.0], [0.0001, 16.0]]",0.14023674,BTC-3MAY24-75000-P,0.1387,66206.65,23211565692,"{'rho': -17.92787, 'theta': -84.83915, 'vega': 25.09692, 'gamma': 3e-05, 'delta': -0.85372}","{'volume_usd': 300031.67, 'volume': 33.3, 'price_change': -6.0714, 'low': 0.1315, 'high': 0.1405}",open,1713864318183
593,66206.59,0.0,0.0,BTC-27SEP24,0.0,0.0,69357.17,79.26,0.0,0.0,0.0,0.7,0.083,0.006,0.005,[],[],0.0276957,BTC-27SEP24-150000-C,0.0229,66206.59,22914650968,"{'rho': 26.45758, 'theta': -21.70953, 'vega': 86.38524, 'gamma': 1e-05, 'delta': 0.11119}","{'volume_usd': 0.0, 'volume': 0.0, 'price_change': None, 'low': None, 'high': None}",open,1713864318834
594,66206.52,891.0,290.0,BTC-26APR24,0.0,88.34,66191.46,74.43,0.1155,0.121,0.0,2288.3,0.1735,0.0755,0.122,"[[0.121, 290.0], [0.1215, 350.0], [0.1225, 11.4], [0.141, 10.0]]","[[0.1155, 891.0], [0.01, 52.0], [0.0001, 12.0]]",0.12094225,BTC-26APR24-74000-P,0.1194,66206.52,23211567973,"{'rho': -5.69824, 'theta': -78.70119, 'vega': 6.2198, 'gamma': 2e-05, 'delta': -0.94906}","{'volume_usd': 2795772.95, 'volume': 365.2, 'price_change': -1.6129, 'low': 0.1065, 'high': 0.1255}",open,1713864320835
595,66206.52,0.0,0.5,BTC-28JUN24,0.0,161.19,67453.74,100.0,0.0,0.0002,0.0,798.7,0.015,0.0001,0.0001,"[[0.0002, 0.5], [0.0003, 31.0], [0.0004, 39.0], [0.0005, 14.0], [0.0009, 9.0]]",[],1.2e-07,BTC-28JUN24-10000-P,0.0,66206.52,23211567927,"{'rho': -0.00017, 'theta': -0.00136, 'vega': 0.0018, 'gamma': 0.0, 'delta': 0.0}","{'volume_usd': 0.0, 'volume': 0.0, 'price_change': None, 'low': None, 'high': None}",open,1713864320835
596,66206.65,79.4,21.5,BTC-3MAY24,63.49,66.42,66326.39,65.59,0.0135,0.015,0.0,265.9,0.0545,0.0001,0.015,"[[0.015, 21.5], [0.0155, 875.0], [0.016, 1362.0], [0.0165, 36.0], [0.017, 8.0]]","[[0.0135, 79.4], [0.013, 270.0], [0.001, 40.0], [0.0007, 81.0], [0.0005, 6.0]]",0.01525414,BTC-3MAY24-72000-C,0.0146,66206.65,23211570232,"{'rho': 4.08421, 'theta': -112.42172, 'vega': 34.07913, 'gamma': 4e-05, 'delta': 0.24066}","{'volume_usd': 374164.14, 'volume': 310.7, 'price_change': -16.6667, 'low': 0.015, 'high': 0.019}",open,1713864323488
597,66207.1,22.2,31.0,SYN.BTC-10MAY24,56.65,75.73,66450.175,66.11,0.1035,0.1175,0.0,27.7,0.1735,0.0655,0.1045,"[[0.1175, 31.0]]","[[0.1035, 22.2]]",0.11103927,BTC-10MAY24-72000-P,0.11,66207.1,23211339626,"{'rho': -24.63583, 'theta': -98.72215, 'vega': 50.60703, 'gamma': 4e-05, 'delta': -0.68862}","{'volume_usd': 69850.33, 'volume': 10.0, 'price_change': 0.0, 'low': 0.1045, 'high': 0.1045}",open,1713864324814
598,66206.89,196.9,12.2,BTC-31MAY24,65.28,69.75,66821.95,68.29,0.1415,0.147,0.0,1285.7,0.218,0.0965,0.139,"[[0.147, 12.2], [0.1475, 168.0], [0.148, 660.0], [0.1945, 28.0]]","[[0.1415, 196.9], [0.141, 544.0], [0.1405, 345.0], [0.14, 17.0], [0.0945, 24.0]]",0.14736707,BTC-31MAY24-73000-P,0.1452,66206.89,23211573183,"{'rho': -52.7814, 'theta': -74.13263, 'vega': 82.37239, 'gamma': 3e-05, 'delta': -0.61468}","{'volume_usd': 165277.08, 'volume': 17.7, 'price_change': -8.8525, 'low': 0.1385, 'high': 0.1525}",open,1713864326929
599,66207.42,0.0,10.0,BTC-26APR24,0.0,130.72,66191.32,65.48,0.0,0.036,0.0,0.0,0.0545,0.0001,,"[[0.036, 10.0]]",[],,BTC-26APR24-67750-C,0.0138,66207.42,23211422370,"{'rho': 1.8313, 'theta': -246.67324, 'vega': 22.16889, 'gamma': 0.0001, 'delta': 0.35699}","{'volume_usd': 0.0, 'volume': 0.0, 'price_change': None, 'low': None, 'high': None}",open,1713864327835
600,66208.22,0.0,0.0,SYN.BTC-17MAY24,98.3,101.72,66574.59,99.33,0.0,0.0,0.0,0.0,0.017,0.0001,,[],[],0.00182144,BTC-17MAY24-40000-P,0.0018,66208.22,23157588459,"{'rho': -0.88142, 'theta': -15.26378, 'vega': 7.58018, 'gamma': 0.0, 'delta': -0.01778}","{'volume_usd': 0.0, 'volume': 0.0, 'price_change': None, 'low': None, 'high': None}",open,1713864328842
